"task/currently_learned_task","simclr1 - _step","simclr1 - Cumulative/losses/Test/metrics/supervised/accuracy","simclr2 - _step","simclr2 - Cumulative/losses/Test/metrics/supervised/accuracy","simclr_ict1 - _step","simclr_ict1 - Cumulative/losses/Test/metrics/supervised/accuracy","simclr_de1 - _step","simclr_de1 - Cumulative/losses/Test/metrics/supervised/accuracy","simclr_ict1+ewc - _step","simclr_ict1+ewc - Cumulative/losses/Test/metrics/supervised/accuracy","simclr_de1+ewc - _step","simclr_de1+ewc - Cumulative/losses/Test/metrics/supervised/accuracy","simclr_ict2 - _step","simclr_ict2 - Cumulative/losses/Test/metrics/supervised/accuracy","simclr_de2 - _step","simclr_de2 - Cumulative/losses/Test/metrics/supervised/accuracy","simclr_ict3 - _step","simclr_ict3 - Cumulative/losses/Test/metrics/supervised/accuracy","simclr_de2+ewc - _step","simclr_de2+ewc - Cumulative/losses/Test/metrics/supervised/accuracy","simclr_de3+ewc - _step","simclr_de3+ewc - Cumulative/losses/Test/metrics/supervised/accuracy","simclr_de3 - _step","simclr_de3 - Cumulative/losses/Test/metrics/supervised/accuracy","simclr1+ewc - _step","simclr1+ewc - Cumulative/losses/Test/metrics/supervised/accuracy","simclr3 - _step","simclr3 - Cumulative/losses/Test/metrics/supervised/accuracy","simclr2+ewc - _step","simclr2+ewc - Cumulative/losses/Test/metrics/supervised/accuracy","simclr3+ewc - _step","simclr3+ewc - Cumulative/losses/Test/metrics/supervised/accuracy","ict1+ewc - _step","ict1+ewc - Cumulative/losses/Test/metrics/supervised/accuracy","simclr_ict2+ewc - _step","simclr_ict2+ewc - Cumulative/losses/Test/metrics/supervised/accuracy","ict2+ewc - _step","ict2+ewc - Cumulative/losses/Test/metrics/supervised/accuracy","simclr_ict3+ewc - _step","simclr_ict3+ewc - Cumulative/losses/Test/metrics/supervised/accuracy","ict3+ewc - _step","ict3+ewc - Cumulative/losses/Test/metrics/supervised/accuracy","sup2 - _step","sup2 - Cumulative/losses/Test/metrics/supervised/accuracy","sup3 - _step","sup3 - Cumulative/losses/Test/metrics/supervised/accuracy","sup4 - _step","sup4 - Cumulative/losses/Test/metrics/supervised/accuracy","sup1+ewc - _step","sup1+ewc - Cumulative/losses/Test/metrics/supervised/accuracy","ict1 - _step","ict1 - Cumulative/losses/Test/metrics/supervised/accuracy","ict2 - _step","ict2 - Cumulative/losses/Test/metrics/supervised/accuracy","sup2+ewc - _step","sup2+ewc - Cumulative/losses/Test/metrics/supervised/accuracy","ict3 - _step","ict3 - Cumulative/losses/Test/metrics/supervised/accuracy","sup3+ewc - _step","sup3+ewc - Cumulative/losses/Test/metrics/supervised/accuracy"
"0","1555200","0.4894999861717224","1555200","0.48249998688697815","1555200","0.4884999990463257","1552800","0.42100000381469727","1555200","0.49000000953674316","1555200","0.42500001192092896","1555200","0.4819999933242798","1555200","0.4300000071525574","1552800","0.49399998784065247","1552800","0.4205000102519989","1555200","0.4104999899864197","1555200","0.42250001430511475","1555200","0.46299999952316284","1552800","0.47999998927116394","1555200","0.4805000126361847","1552800","0.49000000953674316","1552800","0.4620000123977661","1555200","0.4880000054836273","1555200","0.4345000088214874","1552800","0.49000000953674316","1555200","0.4580000042915344","1555200","0.4345000088214874","1552800","0.4334999918937683","1555200","0.44200000166893005","1555200","0.4424999952316284","1552800","0.45899999141693115","1555200","0.45649999380111694","1555200","0.43050000071525574","1555200","0.4519999921321869","1552800","0.4404999911785126"
"1","3109600","0.4092499911785126","3111200","0.3634999990463257","3111200","0.38975000381469727","3109600","0.40724998712539673","3109600","0.4925000071525574","3109600","0.4404999911785126","3109600","0.37549999356269836","3111200","0.3947499990463257","3109600","0.38725000619888306","3109600","0.4482499957084656","3111200","0.42524999380111694","3109600","0.4032500088214874","3111200","0.4740000069141388","3109600","0.3892500102519989","3109600","0.4819999933242798","3109600","0.48625001311302185","3109600","0.4429999887943268","3111200","0.4892500042915344","3111200","0.4269999861717224","3109600","0.48875001072883606","3109600","0.43650001287460327","3111200","0.2915000021457672","3109600","0.29100000858306885","3109600","0.30024999380111694","3109600","0.39925000071525574","3109600","0.3127500116825104","3111200","0.30149999260902405","3111200","0.40575000643730164","3109600","0.30774998664855957","3109600","0.4025000035762787"
"2","4665600","0.28999999165534973","4665600","0.3293333351612091","4665600","0.2866666615009308","4665600","0.3583333194255829","4665600","0.4891666769981384","4665600","0.4246666729450226","4665600","0.3136666715145111","4665600","0.34299999475479126","4665600","0.2851666808128357","4665600","0.4345000088214874","4665600","0.4259999990463257","4665600","0.34066668152809143","4665600","0.4675000011920929","4665600","0.359499990940094","4665600","0.4841666519641876","4665600","0.4751666784286499","4665600","0.43799999356269836","4665600","0.4768333435058594","4665600","0.4104999899864197","4665600","0.4814999997615814","4665600","0.4273333251476288","4665600","0.2280000001192093","4665600","0.21316666901111603","4665600","0.2226666659116745","4665600","0.3946666717529297","4665600","0.2370000034570694","4665600","0.24766667187213898","4665600","0.3916666805744171","4665600","0.24983333051204681","4665600","0.3935000002384186"
"3","6221600","0.25587499141693115","6221600","0.265625","6221600","0.24962499737739563","6222400","0.32850000262260437","6221600","0.4645000100135803","6221600","0.4021250009536743","6221600","0.28162500262260437","6221600","0.3305000066757202","6222400","0.23262499272823334","6222400","0.4077500104904175","6221600","0.3973749876022339","6221600","0.31587499380111694","6221600","0.44087499380111694","6222400","0.3050000071525574","6221600","0.45875000953674316","6222400","0.44987499713897705","6222400","0.421750009059906","6221600","0.4632500112056732","6221600","0.4078750014305115","6222400","0.4612500071525574","6221600","0.4230000078678131","6221600","0.18700000643730164","6222400","0.17374999821186066","6221600","0.1912499964237213","6221600","0.37724998593330383","6222400","0.20412500202655792","6221600","0.20800000429153442","6221600","0.3877499997615814","6221600","0.21275000274181366","6222400","0.3856250047683716"
"4","7776800","0.23639999330043793","7776000","0.22540000081062317","7776000","0.2321999967098236","7777600","0.335999995470047","7776800","0.4799000024795532","7776800","0.4253999888896942","7776800","0.243599995970726","7776000","0.32710000872612","7777600","0.2076999992132187","7777600","0.4253000020980835","7776000","0.4097999930381775","7776800","0.33480000495910645","7776000","0.462799996137619","7777600","0.2637999951839447","7776800","0.4781999886035919","7777600","0.47200000286102295","7777600","0.4302999973297119","7776000","0.4823000133037567","7776000","0.4187999963760376","7777600","0.4832000136375427","7776800","0.42750000953674316","7776000","0.16259999573230743","7777600","0.16189999878406525","7776800","0.16689999401569366","7776800","0.3903000056743622","7777600","0.18240000307559967","7776000","0.18209999799728394","7776000","0.390500009059906","7776800","0.1890999972820282","7777600","0.3921999931335449"
