"task/currently_learned_task","simclr_de1 - _step","simclr_de1 - Cumulative/losses/Test/metrics/supervised/accuracy","simclt_de1+ewc - _step","simclt_de1+ewc - Cumulative/losses/Test/metrics/supervised/accuracy","simclt_de2+ewc - _step","simclt_de2+ewc - Cumulative/losses/Test/metrics/supervised/accuracy","simclt_de3+ewc - _step","simclt_de3+ewc - Cumulative/losses/Test/metrics/supervised/accuracy","simclr_de2 - _step","simclr_de2 - Cumulative/losses/Test/metrics/supervised/accuracy","simclr_de3 - _step","simclr_de3 - Cumulative/losses/Test/metrics/supervised/accuracy","simclr1+ewc - _step","simclr1+ewc - Cumulative/losses/Test/metrics/supervised/accuracy","simclr2+ewc - _step","simclr2+ewc - Cumulative/losses/Test/metrics/supervised/accuracy","simclr3+ewc - _step","simclr3+ewc - Cumulative/losses/Test/metrics/supervised/accuracy","simclr1 - _step","simclr1 - Cumulative/losses/Test/metrics/supervised/accuracy","simclr2 - _step","simclr2 - Cumulative/losses/Test/metrics/supervised/accuracy","ict1+ewc - _step","ict1+ewc - Cumulative/losses/Test/metrics/supervised/accuracy","simclr3 - _step","simclr3 - Cumulative/losses/Test/metrics/supervised/accuracy","ict1 - _step","ict1 - Cumulative/losses/Test/metrics/supervised/accuracy","ict2+ewc - _step","ict2+ewc - Cumulative/losses/Test/metrics/supervised/accuracy","ict2 - _step","ict2 - Cumulative/losses/Test/metrics/supervised/accuracy","ict3+ewc - _step","ict3+ewc - Cumulative/losses/Test/metrics/supervised/accuracy","sup1+ewc - _step","sup1+ewc - Cumulative/losses/Test/metrics/supervised/accuracy","ict3 - _step","ict3 - Cumulative/losses/Test/metrics/supervised/accuracy","sup2+ewc - _step","sup2+ewc - Cumulative/losses/Test/metrics/supervised/accuracy","sup3+ewc - _step","sup3+ewc - Cumulative/losses/Test/metrics/supervised/accuracy","sup1 - _step","sup1 - Cumulative/losses/Test/metrics/supervised/accuracy","sup2 - _step","sup2 - Cumulative/losses/Test/metrics/supervised/accuracy","sup3 - _step","sup3 - Cumulative/losses/Test/metrics/supervised/accuracy"
"0","1246800","0.36899998784065247","1249800","0.33649998903274536","1246800","0.3634999990463257","1249800","0.3644999861717224","1249800","0.3544999957084656","1249800","0.367000013589859","1249800","0.3774999976158142","1246800","0.4165000021457672","1249800","0.3995000123977661","1246800","0.4050000011920929","1249800","0.382999986410141","2493600","0.37400001287460327","1249800","0.39500001072883606","2499600","0.3684999942779541","2499600","0.3709999918937683","2493600","0.38499999046325684","2499600","0.3644999861717224","2493600","0.36649999022483826","2499600","0.3725000023841858","2499600","0.36500000953674316","2499600","0.37049999833106995","2493600","0.37549999356269836","2499600","0.3659999966621399","2499600","0.3499999940395355"
"1","2499600","0.34049999713897705","2493600","0.359250009059906","2499600","0.3657500147819519","2499600","0.3762499988079071","2493600","0.3472500145435333","2499600","0.35100001096725464","2499600","0.39750000834465027","2499600","0.39675000309944153","2493600","0.39925000071525574","2499600","0.34474998712539673","2499600","0.3630000054836273","4999200","0.36625000834465027","2493600","0.35225000977516174","4999200","0.27674999833106995","4987200","0.36375001072883606","4999200","0.26249998807907104","4999200","0.37049999833106995","4999200","0.36274999380111694","4987200","0.296999990940094","4987200","0.36500000953674316","4999200","0.3725000023841858","4999200","0.3022499978542328","4999200","0.26499998569488525","4987200","0.28125"
"2","3746400","0.32366666197776794","3740400","0.3610000014305115","3746400","0.35483333468437195","3752400","0.36899998784065247","3740400","0.3291666805744171","3752400","0.33533334732055664","3752400","0.3851666748523712","3746400","0.3878333270549774","3740400","0.38616666197776794","3746400","0.28333333134651184","3752400","0.2991666793823242","7492800","0.34599998593330383","3740400","0.3023333251476288","7504800","0.21283333003520966","7480800","0.3580000102519989","7492800","0.18816666305065155","7504800","0.35116666555404663","7492800","0.35199999809265137","7480800","0.24549999833106995","7480800","0.3544999957084656","7504800","0.3683333396911621","7492800","0.21716666221618652","7504800","0.19966666400432587","7480800","0.250166654586792"
"3","4999200","0.3238750100135803","4984200","0.35725000500679016","4999200","0.3487499952316284","4999200","0.3543750047683716","4984200","0.3473750054836273","4999200","0.31587499380111694","4999200","0.367249995470047","4999200","0.37275001406669617","4984200","0.3799999952316284","4999200","0.27287501096725464","4999200","0.2685000002384186","9998400","0.3407500088214874","4984200","0.2626250088214874","9998400","0.19349999725818634","9968400","0.3503749966621399","9998400","0.195250004529953","9998400","0.34474998712539673","9998400","0.35212498903274536","9968400","0.20662499964237213","9968400","0.35362499952316284","9998400","0.35600000619888306","9998400","0.18912500143051147","9998400","0.1821250021457672","9968400","0.20787499845027924"
"4","6249000","0.32829999923706055","6228000","0.36340001225471497","6249000","0.3675000071525574","6252000","0.37299999594688416","6228000","0.35120001435279846","6252000","0.3361000120639801","6252000","0.376800000667572","6249000","0.383899986743927","6228000","0.3815000057220459","6249000","0.2799000144004822","6252000","0.24819999933242798","12498000","0.3497999906539917","6228000","0.271699994802475","12504000","0.20270000398159027","12456000","0.36399999260902405","12498000","0.19609999656677246","12504000","0.3582000136375427","12498000","0.36079999804496765","12456000","0.1776999980211258","12456000","0.3569999933242798","12504000","0.365200012922287","12498000","0.18389999866485596","12504000","0.1973000019788742","12456000","0.1818999946117401"
