"task/currently_learned_task","simclr3 - _step","simclr3 - Cumulative/losses/Test/metrics/supervised/accuracy","simclr2 - _step","simclr2 - Cumulative/losses/Test/metrics/supervised/accuracy","ict3+ewc - _step","ict3+ewc - Cumulative/losses/Test/metrics/supervised/accuracy","ict2+ewc - _step","ict2+ewc - Cumulative/losses/Test/metrics/supervised/accuracy","simclr_ict3 - _step","simclr_ict3 - Cumulative/losses/Test/metrics/supervised/accuracy","simclr_ict2 - _step","simclr_ict2 - Cumulative/losses/Test/metrics/supervised/accuracy","simclr_ict1 - _step","simclr_ict1 - Cumulative/losses/Test/metrics/supervised/accuracy","simclr_det3+ewc - _step","simclr_det3+ewc - Cumulative/losses/Test/metrics/supervised/accuracy","simclr_det2+ewc - _step","simclr_det2+ewc - Cumulative/losses/Test/metrics/supervised/accuracy","simclr_det1+ewc - _step","simclr_det1+ewc - Cumulative/losses/Test/metrics/supervised/accuracy","simclr3+ewc - _step","simclr3+ewc - Cumulative/losses/Test/metrics/supervised/accuracy","simclr_det3 - _step","simclr_det3 - Cumulative/losses/Test/metrics/supervised/accuracy","simclr1 - _step","simclr1 - Cumulative/losses/Test/metrics/supervised/accuracy","ict3 - _step","ict3 - Cumulative/losses/Test/metrics/supervised/accuracy","simclr_det2 - _step","simclr_det2 - Cumulative/losses/Test/metrics/supervised/accuracy","simclr2+ewc - _step","simclr2+ewc - Cumulative/losses/Test/metrics/supervised/accuracy","sup3 - _step","sup3 - Cumulative/losses/Test/metrics/supervised/accuracy","ict1+ewc - _step","ict1+ewc - Cumulative/losses/Test/metrics/supervised/accuracy","sup3+ewc - _step","sup3+ewc - Cumulative/losses/Test/metrics/supervised/accuracy","ict2 - _step","ict2 - Cumulative/losses/Test/metrics/supervised/accuracy","ict1 - _step","ict1 - Cumulative/losses/Test/metrics/supervised/accuracy","sup2+ewc - _step","sup2+ewc - Cumulative/losses/Test/metrics/supervised/accuracy","sup2 - _step","sup2 - Cumulative/losses/Test/metrics/supervised/accuracy","sup1+ewc - _step","sup1+ewc - Cumulative/losses/Test/metrics/supervised/accuracy","simclr_ict3+ewc - _step","simclr_ict3+ewc - Cumulative/losses/Test/metrics/supervised/accuracy","simclr_ict2+ewc - _step","simclr_ict2+ewc - Cumulative/losses/Test/metrics/supervised/accuracy","simclr_ict1+ewc - _step","simclr_ict1+ewc - Cumulative/losses/Test/metrics/supervised/accuracy","sup1 - _step","sup1 - Cumulative/losses/Test/metrics/supervised/accuracy","simclr_det1 - _step","simclr_det1 - Cumulative/losses/Test/metrics/supervised/accuracy","simclr1+ewc - _step","simclr1+ewc - Cumulative/losses/Test/metrics/supervised/accuracy"
"0","9559600","0.48399999737739563","9577600","0.47999998927116394","9577600","0.42899999022483826","9577600","0.4410000145435333","9559600","0.47699999809265137","9577600","0.445499986410141","9577600","0.4544999897480011","9559600","0.3959999978542328","9577600","0.4099999964237213","9577600","0.4059999883174896","9577600","0.48100000619888306","9577600","0.40400001406669617","9577600","0.484499990940094","9577600","0.4345000088214874","9589600","0.40450000762939453","9577600","0.5070000290870667","9577600","0.4424999952316284","9577600","0.43149998784065247","9559600","0.45249998569488525","9577600","0.4325000047683716","9577600","0.429500013589859","9577600","0.46149998903274536","9577600","0.44999998807907104","9577600","0.44749999046325684","9577600","0.45899999141693115","9577600","0.45249998569488525","9559600","0.4729999899864197","9559600","0.4715000092983246","9577600","0.40799999237060547","9559600","0.48500001430511475"
"1","19149200","0.4412499964237213","19149200","0.44624999165534973","19161200","0.4129999876022339","19149200","0.4207499921321869","19149200","0.39524999260902405","19161200","0.3877499997615814","19149200","0.37024998664855957","19149200","0.44975000619888306","19149200","0.44725000858306885","19161200","0.4427500069141388","19161200","0.4872500002384186","19161200","0.4192500114440918","19149200","0.40424999594688416","19149200","0.3097499907016754","19155200","0.43700000643730164","19143200","0.5062500238418579","19161200","0.30300000309944153","19149200","0.41999998688697815","19149200","0.4247500002384186","19149200","0.29899999499320984","19161200","0.32199999690055847","19149200","0.4402500092983246","19149200","0.3122499883174896","19161200","0.4300000071525574","19149200","0.46674999594688416","19161200","0.47099998593330383","19149200","0.4819999933242798","19149200","0.3017500042915344","19161200","0.4347499907016754","19149200","0.49549999833106995"
"2","28732800","0.3824999928474426","28732800","0.3815000057220459","28732800","0.40450000762939453","28732800","0.4078333377838135","28732800","0.36516666412353516","28732800","0.2745000123977661","28732800","0.34299999475479126","28732800","0.45766666531562805","28732800","0.45116665959358215","28732800","0.4494999945163727","28732800","0.4833333194255829","28732800","0.4271666705608368","28732800","0.29733332991600037","28732800","0.23000000417232513","28732800","0.43149998784065247","28726800","0.5099999904632568","28732800","0.22050000727176666","28732800","0.40933331847190857","28732800","0.414000004529953","28732800","0.24799999594688416","28732800","0.22033333778381348","28732800","0.43433332443237305","28732800","0.23849999904632568","28732800","0.42533332109451294","28732800","0.4711666703224182","28732800","0.47433334589004517","28732800","0.4808333218097687","28732800","0.21533332765102386","28732800","0.44183334708213806","28732800","0.49416667222976685"
"3","38322400","0.3413749933242798","38316400","0.3499999940395355","38316400","0.40525001287460327","38316400","0.406374990940094","38322400","0.2565000057220459","38316400","0.24937500059604645","38316400","0.31700000166893005","38322400","0.4555000066757202","38316400","0.4567500054836273","38316400","0.4503749907016754","38316400","0.4794999957084656","38316400","0.4338749945163727","38316400","0.28312501311302185","38316400","0.2068749964237213","38304400","0.43562498688697815","38310400","0.5066249966621399","38316400","0.18537500500679016","38316400","0.4065000116825104","38322400","0.40799999237060547","38316400","0.21050000190734863","38316400","0.21699999272823334","38316400","0.4300000071525574","38316400","0.19099999964237213","38316400","0.4221250116825104","38316400","0.46799999475479126","38316400","0.47437500953674316","38322400","0.4788750112056732","38322400","0.18250000476837158","38316400","0.4402500092983246","38322400","0.48875001072883606"
"4","47900000","0.2574000060558319","47894000","0.33230000734329224","47888000","0.40549999475479126","47894000","0.4034999907016754","47900000","0.249099999666214","47888000","0.2529999911785126","47894000","0.21619999408721924","47900000","0.4657999873161316","47894000","0.4661000072956085","47888000","0.46309998631477356","47888000","0.48570001125335693","47888000","0.4487999975681305","47894000","0.25529998540878296","47894000","0.19840000569820404","47888000","0.43970000743865967","47882000","0.5167999863624573","47888000","0.17270000278949738","47894000","0.40700000524520874","47900000","0.412200003862381","47894000","0.17820000648498535","47888000","0.20600000023841858","47894000","0.4250999987125397","47894000","0.164900004863739","47888000","0.4237000048160553","47894000","0.47450000047683716","47888000","0.48089998960494995","47900000","0.4880000054836273","47900000","0.1995999962091446","47888000","0.451200008392334","47900000","0.4982999861240387"
